Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Cost,Profit_Calc,Year,Month
22,CA-2016-137330,2016-12-09,12/13/2016,Standard Class,KB-16585,Corporate,United States,Fremont,Nebraska,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7,0.0,5.0596,14.400400000000001,5.0596,2016,12
23,CA-2016-137330,2016-12-09,12/13/2016,Standard Class,KB-16585,Corporate,United States,Fremont,Nebraska,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0.0,15.6884,44.6516,15.688400000000001,2016,12
24,US-2017-156909,2017-07-16,7/18/2017,Second Class,SF-20065,Consumer,United States,Philadelphia,Pennsylvania,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196,72.3916,-1.019599999999997,2017,7
25,CA-2015-106320,2015-09-25,9/30/2015,Standard Class,EB-13870,Consumer,United States,Orem,Utah,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0.0,240.2649,804.3651000000001,240.2649,2015,9
26,CA-2016-121755,2016-01-16,1/20/2016,Second Class,EH-13945,Consumer,United States,Los Angeles,California,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224,7.425599999999999,4.2224,2016,1
27,CA-2016-121755,2016-01-16,1/20/2016,Second Class,EH-13945,Consumer,United States,Los Angeles,California,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0.0,11.7741,78.79589999999999,11.774100000000004,2016,1
28,US-2015-150630,2015-09-17,9/21/2015,Standard Class,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522,4748.4822,-1665.0522000000005,2015,9
29,US-2015-150630,2015-09-17,9/21/2015,Standard Class,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-7.0532,16.6712,-7.053199999999999,2015,9
30,US-2015-150630,2015-09-17,9/21/2015,Standard Class,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525,108.675,15.525000000000006,2015,9
31,US-2015-150630,2015-09-17,9/21/2015,Standard Class,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2,0.2,1.1016,2.1624,1.1016,2015,9
32,US-2015-150630,2015-09-17,9/21/2015,Standard Class,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092,76.5948,9.709199999999996,2015,9
33,US-2015-150630,2015-09-17,9/21/2015,Standard Class,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7,-5.715,12.573,-5.715000000000001,2015,9
34,US-2015-150630,2015-09-17,9/21/2015,Standard Class,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,3.546,12.214,3.5459999999999994,2015,9
35,CA-2017-107727,2017-10-19,10/23/2017,Second Class,MA-17560,Home Office,United States,Houston,Texas,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.472,3,0.2,9.9468,19.5252,9.9468,2017,10
36,CA-2016-117590,2016-12-08,12/10/2016,First Class,GH-14485,Corporate,United States,Richardson,Texas,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.544,7,0.2,123.4737,974.0703000000001,123.47370000000001,2016,12
37,CA-2016-117590,2016-12-08,12/10/2016,First Class,GH-14485,Corporate,United States,Richardson,Texas,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963,338.883,-147.963,2016,12
38,CA-2015-117415,2015-12-27,12/31/2015,Standard Class,SN-20710,Home Office,United States,Houston,Texas,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415,77.91300000000001,35.41499999999999,2015,12
39,CA-2015-117415,2015-12-27,12/31/2015,Standard Class,SN-20710,Home Office,United States,Houston,Texas,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764,579.3756,-46.97640000000001,2015,12
40,CA-2015-117415,2015-12-27,12/31/2015,Standard Class,SN-20710,Home Office,United States,Houston,Texas,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.147,227.20499999999998,-15.146999999999991,2015,12
41,CA-2015-117415,2015-12-27,12/31/2015,Standard Class,SN-20710,Home Office,United States,Houston,Texas,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.7564,329.4116,41.756399999999985,2015,12
42,CA-2017-120999,2017-09-10,9/15/2017,Standard Class,LC-16930,Corporate,United States,Naperville,Illinois,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.168,4,0.2,16.5564,130.6116,16.556399999999996,2017,9
43,CA-2016-101343,2016-07-17,7/22/2016,Standard Class,RA-19885,Corporate,United States,Los Angeles,California,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0.0,3.894,73.98599999999999,3.8940000000000055,2016,7
44,CA-2017-139619,2017-09-19,9/23/2017,Standard Class,ES-14080,Corporate,United States,Melbourne,Florida,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616,86.0544,9.561599999999999,2017,9
45,CA-2016-118255,2016-03-11,3/13/2016,First Class,ON-18715,Corporate,United States,Eagan,Minnesota,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0.0,19.7714,26.208599999999997,19.7714,2016,3
46,CA-2016-118255,2016-03-11,3/13/2016,First Class,ON-18715,Corporate,United States,Eagan,Minnesota,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0.0,8.2062,9.2538,8.2062,2016,3
47,CA-2014-146703,2014-10-20,10/25/2014,Second Class,PO-18865,Consumer,United States,Westland,Michigan,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0.0,8.4784,203.48160000000001,8.478399999999993,2014,10
48,CA-2016-169194,2016-06-20,6/25/2016,Standard Class,LH-16900,Consumer,United States,Dover,Delaware,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.0,3,0.0,4.95,40.05,4.950000000000003,2016,6
49,CA-2016-169194,2016-06-20,6/25/2016,Standard Class,LH-16900,Consumer,United States,Dover,Delaware,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0.0,6.104,15.696000000000002,6.103999999999999,2016,6
50,CA-2015-115742,2015-04-18,4/22/2015,Standard Class,DP-13000,Consumer,United States,New Albany,Indiana,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0.0,17.9634,20.2566,17.9634,2015,4
51,CA-2015-115742,2015-04-18,4/22/2015,Standard Class,DP-13000,Consumer,United States,New Albany,Indiana,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.18,6,0.0,35.3346,39.845400000000005,35.3346,2015,4
52,CA-2015-115742,2015-04-18,4/22/2015,Standard Class,DP-13000,Consumer,United States,New Albany,Indiana,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0.0,2.9568,3.2032000000000003,2.9568,2015,4
53,CA-2015-115742,2015-04-18,4/22/2015,Standard Class,DP-13000,Consumer,United States,New Albany,Indiana,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1,0.0,17.0981,72.89189999999999,17.098100000000002,2015,4
54,CA-2016-105816,2016-12-11,12/17/2016,Standard Class,JM-15265,Corporate,United States,New York City,New York,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,0.0,6.2566,9.0034,6.256600000000001,2016,12
55,CA-2016-105816,2016-12-11,12/17/2016,Standard Class,JM-15265,Corporate,United States,New York City,New York,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0.0,298.6855,731.2645,298.68550000000005,2016,12
56,CA-2016-111682,2016-06-17,6/18/2016,First Class,TB-21055,Consumer,United States,Troy,New York,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0.0,52.14,156.42000000000002,52.139999999999986,2016,6
57,CA-2016-111682,2016-06-17,6/18/2016,First Class,TB-21055,Consumer,United States,Troy,New York,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.4,5,0.0,15.552,16.848,15.552,2016,6
58,CA-2016-111682,2016-06-17,6/18/2016,First Class,TB-21055,Consumer,United States,Troy,New York,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.098,312.312,7.098000000000013,2016,6
59,CA-2016-111682,2016-06-17,6/18/2016,First Class,TB-21055,Consumer,United States,Troy,New York,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0.0,6.9888,7.5712,6.9888,2016,6
60,CA-2016-111682,2016-06-17,6/18/2016,First Class,TB-21055,Consumer,United States,Troy,New York,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30.0,2,0.0,3.3,26.7,3.3000000000000007,2016,6
61,CA-2016-111682,2016-06-17,6/18/2016,First Class,TB-21055,Consumer,United States,Troy,New York,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,4,0.2,16.362,32.117999999999995,16.362000000000002,2016,6
62,CA-2016-111682,2016-06-17,6/18/2016,First Class,TB-21055,Consumer,United States,Troy,New York,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0.0,0.84,0.84,0.84,2016,6
63,CA-2015-135545,2015-11-24,11/30/2015,Standard Class,KM-16720,Consumer,United States,Los Angeles,California,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0.0,6.1512,7.8288,6.1512,2015,11
64,CA-2015-135545,2015-11-24,11/30/2015,Standard Class,KM-16720,Consumer,United States,Los Angeles,California,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,0.2,9.3612,16.4628,9.3612,2015,11
65,CA-2015-135545,2015-11-24,11/30/2015,Standard Class,KM-16720,Consumer,United States,Los Angeles,California,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73,3,0.0,68.9631,77.76689999999999,68.9631,2015,11
66,CA-2015-135545,2015-11-24,11/30/2015,Standard Class,KM-16720,Consumer,United States,Los Angeles,California,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0.0,22.3328,57.427200000000006,22.3328,2015,11
67,US-2015-164175,2015-04-30,5/5/2015,Standard Class,PS-18970,Home Office,United States,Chicago,Illinois,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3,-15.2225,228.3375,-15.222499999999997,2015,4
68,CA-2014-106376,2014-12-05,12/10/2014,Standard Class,BS-11590,Corporate,United States,Gilbert,Arizona,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024,1001.7215999999999,111.30240000000003,2014,12
69,CA-2014-106376,2014-12-05,12/10/2014,Standard Class,BS-11590,Corporate,United States,Gilbert,Arizona,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,4,0.2,62.988,104.97999999999999,62.988,2014,12
70,CA-2016-119823,2016-06-04,6/6/2016,First Class,KD-16270,Consumer,United States,Springfield,Virginia,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0.0,35.6636,40.21639999999999,35.6636,2016,6
71,CA-2016-106075,2016-09-18,9/23/2016,Standard Class,HM-14980,Consumer,United States,New York City,New York,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2,1.731,2.885,1.7309999999999999,2016,9
72,CA-2017-114440,2017-09-14,9/17/2017,Second Class,TB-21520,Consumer,United States,Jackson,Michigan,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,0.0,8.763,10.287,8.763,2017,9
73,US-2015-134026,2015-04-26,5/2/2015,Standard Class,JE-15745,Consumer,United States,Memphis,Tennessee,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,831.936,8,0.2,-114.3912,946.3272000000001,-114.39120000000003,2015,4
74,US-2015-134026,2015-04-26,5/2/2015,Standard Class,JE-15745,Consumer,United States,Memphis,Tennessee,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,0.2,1.213,95.82700000000001,1.2129999999999939,2015,4
75,US-2015-134026,2015-04-26,5/2/2015,Standard Class,JE-15745,Consumer,United States,Memphis,Tennessee,South,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784,1,0.2,-18.196,90.98,-18.195999999999998,2015,4
76,US-2017-118038,2017-12-09,12/11/2017,First Class,KB-16600,Corporate,United States,Houston,Texas,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.248,3,0.8,-1.9344,3.1824,-1.9344,2017,12
77,US-2017-118038,2017-12-09,12/11/2017,First Class,KB-16600,Corporate,United States,Houston,Texas,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,3,0.6,-5.8248,15.5328,-5.8248,2017,12
78,US-2017-118038,2017-12-09,12/11/2017,First Class,KB-16600,Corporate,United States,Houston,Texas,Central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,2.724,24.516,2.724,2017,12
79,US-2014-147606,2014-11-26,12/1/2014,Second Class,JE-15745,Consumer,United States,Houston,Texas,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6,-14.475,33.775,-14.474999999999998,2014,11
80,CA-2016-127208,2016-06-12,6/15/2016,First Class,SC-20770,Corporate,United States,Decatur,Alabama,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0.0,56.2032,151.9568,56.20320000000001,2016,6
81,CA-2016-127208,2016-06-12,6/15/2016,First Class,SC-20770,Corporate,United States,Decatur,Alabama,South,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3,0.0,8.0352,8.704799999999999,8.0352,2016,6
82,CA-2014-139451,2014-10-12,10/16/2014,Standard Class,DN-13690,Consumer,United States,San Francisco,California,West,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,0.0,4.172,10.728000000000002,4.171999999999999,2014,10
83,CA-2014-139451,2014-10-12,10/16/2014,Standard Class,DN-13690,Consumer,United States,San Francisco,California,West,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0.0,6.2031,15.186900000000001,6.203099999999999,2014,10
84,CA-2015-149734,2015-09-03,9/8/2015,Standard Class,JC-16105,Corporate,United States,Durham,North Carolina,South,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7,0.2,62.8075,138.1765,62.807500000000005,2015,9
85,US-2017-119662,2017-11-13,11/16/2017,First Class,CS-12400,Home Office,United States,Chicago,Illinois,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,3,0.2,-48.9549,279.3309,-48.95489999999998,2017,11
86,CA-2017-140088,2017-05-28,5/30/2017,Second Class,PO-18865,Consumer,United States,Columbia,South Carolina,South,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2,0.0,33.2156,268.7444,33.215599999999995,2017,5
87,CA-2017-155558,2017-10-26,11/2/2017,Standard Class,PG-18895,Consumer,United States,Rochester,Minnesota,Central,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,0.0,6.7966,13.193399999999999,6.7966,2017,10
88,CA-2017-155558,2017-10-26,11/2/2017,Standard Class,PG-18895,Consumer,United States,Rochester,Minnesota,Central,OFF-LA-10000134,Office Supplies,Labels,Avery 511,6.16,2,0.0,2.9568,3.2032000000000003,2.9568,2017,10
89,CA-2016-159695,2016-04-05,4/10/2016,Second Class,GM-14455,Home Office,United States,Houston,Texas,Central,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,7,0.2,13.8572,144.5108,13.857200000000006,2016,4
90,CA-2016-109806,2016-09-17,9/22/2016,Standard Class,JS-15685,Corporate,United States,Los Angeles,California,West,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,3,0.0,6.633,13.467000000000002,6.632999999999999,2016,9
91,CA-2016-109806,2016-09-17,9/22/2016,Standard Class,JS-15685,Corporate,United States,Los Angeles,California,West,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,73.584,2,0.2,8.2782,65.3058,8.278199999999998,2016,9
92,CA-2016-109806,2016-09-17,9/22/2016,Standard Class,JS-15685,Corporate,United States,Los Angeles,California,West,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,6.48,1,0.0,3.1104,3.3696000000000006,3.1104,2016,9
93,CA-2015-149587,2015-01-31,2/5/2015,Second Class,KB-16315,Consumer,United States,Minneapolis,Minnesota,Central,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,12.96,2,0.0,6.2208,6.739200000000001,6.2208,2015,1
94,CA-2015-149587,2015-01-31,2/5/2015,Second Class,KB-16315,Consumer,United States,Minneapolis,Minnesota,Central,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,3,0.0,16.5354,36.80460000000001,16.535399999999996,2015,1
94,CA-2015-149587,2015-01-31,2/5/2015,Second Class,KB-16315,Consumer,United States,Minneapolis,Minnesota,Central,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,3,0.0,16.1504,37.1896,16.150400000000005,2015,1
95,CA-2015-149587,2015-01-31,2/5/2015,Second Class,KB-16315,Consumer,United States,Minneapolis,Minnesota,Central,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,2,0.7,-3.788,36.748,-3.7879999999999967,2015,1
96,US-2017-109484,2017-11-06,11/12/2017,Standard Class,RB-19705,Home Office,United States,Portland,Oregon,West,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682,1,0.0,40.5426,-34.8606,40.5426,2017,11
97,CA-2017-161018,2017-11-09,11/11/2017,Second Class,PN-18775,Home Office,United States,New York City,New York,East,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7,0.2,17.9592,78.5708,17.959199999999996,2017,11
98,CA-2017-157833,2017-06-17,6/20/2017,First Class,KD-16345,Consumer,United States,San Francisco,California,West,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312,3,0.0,22.5852,28.726799999999997,22.5852,2017,6
99,CA-2016-149223,2016-09-06,9/11/2016,Standard Class,ER-13855,Corporate,United States,Saint Paul,Minnesota,Central,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6,0.2,22.6184,55.261599999999994,22.6184,2016,9
100,CA-2016-158568,2016-08-29,9/2/2016,Standard Class,RB-19465,Home Office,United States,Chicago,Illinois,Central,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624,7,0.2,-10.7973,75.4213,-10.797300000000007,2016,8
101,CA-2016-158568,2016-08-29,9/2/2016,Standard Class,RB-19465,Home Office,United States,Chicago,Illinois,Central,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,3,0.8,-3.0396,99.0156,-3.039600000000007,2016,8
