row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit
48,CA-2016-300048,2015-12-17,2015-12-18,Standard Class,CG-20048,Customer_48,Corporate,United States,Los Angeles,California,90001,West,PROD-300048,Office Supplies,Storage,Storage Product 48,642.98,10,0.15,48.2235
49,CA-2016-300049,2017-10-23,2017-10-28,Standard Class,CG-20049,Customer_49,Consumer,United States,Houston,Texas,77001,South,PROD-300049,Technology,Phones,Phones Product 49,2263.73,12,0.05,282.9663
50,CA-2016-300050,2014-11-21,2014-11-25,Standard Class,CG-20050,Customer_50,Home Office,United States,Seattle,Washington,98101,West,PROD-300050,Furniture,Bookcases,Bookcases Product 50,916.41,9,0.0,137.4615
51,CA-2016-300051,2016-03-24,2016-03-28,Second Class,CG-20051,Customer_51,Consumer,United States,Seattle,Washington,98101,West,PROD-300051,Furniture,Bookcases,Bookcases Product 51,1073.39,1,0.05,134.1738
52,CA-2016-300052,2014-12-04,2014-12-11,First Class,CG-20052,Customer_52,Consumer,United States,Seattle,Washington,98101,West,PROD-300052,Furniture,Bookcases,Bookcases Product 52,304.66,1,0.25,7.6165
53,CA-2016-300053,2015-01-15,2015-01-16,Standard Class,CG-20053,Customer_53,Corporate,United States,Los Angeles,California,90001,West,PROD-300053,Technology,Machines,Machines Product 53,561.31,3,0.05,70.1637
54,CA-2016-300054,2017-10-22,2017-10-28,Second Class,CG-20054,Customer_54,Home Office,United States,Los Angeles,California,90001,West,PROD-300054,Furniture,Bookcases,Bookcases Product 54,1422.5,5,0.2,71.125
55,CA-2016-300055,2014-01-01,2014-01-05,First Class,CG-20055,Customer_55,Consumer,United States,Los Angeles,California,90001,West,PROD-300055,Technology,Accessories,Accessories Product 55,2363.69,8,0.05,295.4613
56,CA-2016-300056,2016-06-27,2016-07-01,First Class,CG-20056,Customer_56,Consumer,United States,New York,New York,10001,East,PROD-300056,Office Supplies,Storage,Storage Product 56,2338.54,5,0.2,116.927
57,CA-2016-300057,2014-03-14,2014-03-15,Second Class,CG-20057,Customer_57,Consumer,United States,New York,New York,10001,East,PROD-300057,Office Supplies,Binders,Binders Product 57,2301.57,3,0.15,172.6178
58,CA-2016-300058,2016-03-24,2016-03-26,Standard Class,CG-20058,Customer_58,Corporate,United States,New York,New York,10001,East,PROD-300058,Technology,Phones,Phones Product 58,630.66,8,0.05,78.8325
59,CA-2016-300059,2016-04-09,2016-04-11,Same Day,CG-20059,Customer_59,Home Office,United States,Seattle,Washington,98101,West,PROD-300059,Office Supplies,Labels,Labels Product 59,205.24,3,0.05,25.655
60,CA-2016-300060,2015-12-31,2016-01-04,First Class,CG-20060,Customer_60,Consumer,United States,Henderson,Kentucky,42420,South,PROD-300060,Office Supplies,Binders,Binders Product 60,1865.23,7,0.15,139.8922
61,CA-2016-300061,2014-10-06,2014-10-10,Second Class,CG-20061,Customer_61,Home Office,United States,Houston,Texas,77001,South,PROD-300061,Furniture,Chairs,Chairs Product 61,126.13,6,0.0,18.9195
62,CA-2016-300062,2015-01-08,2015-01-11,Same Day,CG-20062,Customer_62,Home Office,United States,Henderson,Kentucky,42420,South,PROD-300062,Office Supplies,Paper,Paper Product 62,844.91,2,0.15,63.3682
63,CA-2016-300063,2016-10-15,2016-10-21,Standard Class,CG-20063,Customer_63,Consumer,United States,Seattle,Washington,98101,West,PROD-300063,Technology,Machines,Machines Product 63,249.5,11,0.2,12.475
64,CA-2016-300064,2014-08-11,2014-08-12,First Class,CG-20064,Customer_64,Home Office,United States,New York,New York,10001,East,PROD-300064,Office Supplies,Binders,Binders Product 64,371.89,9,0.15,27.8917
65,CA-2016-300065,2015-03-31,2015-04-06,Second Class,CG-20065,Customer_65,Consumer,United States,Chicago,Illinois,60601,Central,PROD-300065,Furniture,Tables,Tables Product 65,463.87,8,0.05,57.9838
66,CA-2016-300066,2015-03-22,2015-03-27,Second Class,CG-20066,Customer_66,Home Office,United States,Chicago,Illinois,60601,Central,PROD-300066,Furniture,Chairs,Chairs Product 66,1615.49,14,0.1,161.549
67,CA-2016-300067,2014-07-05,2014-07-08,First Class,CG-20067,Customer_67,Corporate,United States,Los Angeles,California,90001,West,PROD-300067,Office Supplies,Paper,Paper Product 67,804.11,8,0.25,20.1027
68,CA-2016-300068,2014-04-28,2014-05-01,Second Class,CG-20068,Customer_68,Corporate,United States,Chicago,Illinois,60601,Central,PROD-300068,Office Supplies,Labels,Labels Product 68,2344.68,11,0.15,175.851
69,CA-2016-300069,2014-08-11,2014-08-15,Standard Class,CG-20069,Customer_69,Home Office,United States,Chicago,Illinois,60601,Central,PROD-300069,Technology,Accessories,Accessories Product 69,1347.67,2,0.0,202.1505
70,CA-2016-300070,2018-02-02,2018-02-04,Second Class,CG-20070,Customer_70,Consumer,United States,Miami,Florida,33101,South,PROD-300070,Technology,Accessories,Accessories Product 70,959.36,6,0.15,71.952
71,CA-2016-300071,2015-08-24,2015-08-28,First Class,CG-20071,Customer_71,Consumer,United States,Los Angeles,California,90001,West,PROD-300071,Office Supplies,Storage,Storage Product 71,1317.78,4,0.1,131.778
72,CA-2016-300072,2014-06-08,2014-06-15,Second Class,CG-20072,Customer_72,Home Office,United States,Henderson,Kentucky,42420,South,PROD-300072,Furniture,Chairs,Chairs Product 72,499.84,12,0.05,62.48
73,CA-2016-300073,2015-10-30,2015-11-05,Same Day,CG-20073,Customer_73,Home Office,United States,Chicago,Illinois,60601,Central,PROD-300073,Technology,Machines,Machines Product 73,448.86,1,0.2,22.443
74,CA-2016-300074,2014-08-14,2014-08-18,Second Class,CG-20074,Customer_74,Consumer,United States,Los Angeles,California,90001,West,PROD-300074,Office Supplies,Labels,Labels Product 74,2083.98,12,0.15,156.2985
75,CA-2016-300075,2016-11-27,2016-12-02,Standard Class,CG-20075,Customer_75,Consumer,United States,Henderson,Kentucky,42420,South,PROD-300075,Technology,Machines,Machines Product 75,297.31,11,0.1,29.731
76,CA-2016-300076,2016-09-06,2016-09-09,Standard Class,CG-20076,Customer_76,Home Office,United States,Houston,Texas,77001,South,PROD-300076,Furniture,Chairs,Chairs Product 76,782.54,5,0.25,19.5635
77,CA-2016-300077,2017-04-25,2017-04-26,First Class,CG-20077,Customer_77,Home Office,United States,Seattle,Washington,98101,West,PROD-300077,Office Supplies,Binders,Binders Product 77,97.37,11,0.05,12.1713
78,CA-2016-300078,2017-03-10,2017-03-11,First Class,CG-20078,Customer_78,Corporate,United States,Chicago,Illinois,60601,Central,PROD-300078,Office Supplies,Binders,Binders Product 78,2125.12,2,0.1,212.512
79,CA-2016-300079,2016-09-15,2016-09-18,Same Day,CG-20079,Customer_79,Corporate,United States,Chicago,Illinois,60601,Central,PROD-300079,Technology,Machines,Machines Product 79,1777.88,13,0.25,44.447
80,CA-2016-300080,2014-11-12,2014-11-13,Same Day,CG-20080,Customer_80,Consumer,United States,Chicago,Illinois,60601,Central,PROD-300080,Furniture,Tables,Tables Product 80,2419.8,8,0.0,362.97
81,CA-2016-300081,2014-07-22,2014-07-23,First Class,CG-20081,Customer_81,Consumer,United States,Los Angeles,California,90001,West,PROD-300081,Office Supplies,Paper,Paper Product 81,1507.35,9,0.1,150.735
82,CA-2016-300082,2016-11-26,2016-11-27,Standard Class,CG-20082,Customer_82,Home Office,United States,Seattle,Washington,98101,West,PROD-300082,Furniture,Chairs,Chairs Product 82,2432.76,12,0.05,304.095
83,CA-2016-300083,2016-09-07,2016-09-09,Standard Class,CG-20083,Customer_83,Corporate,United States,Los Angeles,California,90001,West,PROD-300083,Office Supplies,Storage,Storage Product 83,651.48,12,0.0,97.722
84,CA-2016-300084,2015-08-11,2015-08-13,Same Day,CG-20084,Customer_84,Home Office,United States,Los Angeles,California,90001,West,PROD-300084,Furniture,Chairs,Chairs Product 84,1085.79,5,0.1,108.579
85,CA-2016-300085,2014-03-21,2014-03-23,First Class,CG-20085,Customer_85,Home Office,United States,Miami,Florida,33101,South,PROD-300085,Furniture,Bookcases,Bookcases Product 85,1198.55,15,0.15,89.8912
86,CA-2016-300086,2016-02-09,2016-02-13,First Class,CG-20086,Customer_86,Home Office,United States,Houston,Texas,77001,South,PROD-300086,Office Supplies,Storage,Storage Product 86,383.81,9,0.0,57.5715
87,CA-2016-300087,2014-11-02,2014-11-06,Standard Class,CG-20087,Customer_87,Corporate,United States,Houston,Texas,77001,South,PROD-300087,Furniture,Bookcases,Bookcases Product 87,1788.38,9,0.2,89.419
88,CA-2016-300088,2017-05-03,2017-05-08,First Class,CG-20088,Customer_88,Corporate,United States,New York,New York,10001,East,PROD-300088,Technology,Accessories,Accessories Product 88,2040.39,15,0.05,255.0488
89,CA-2016-300089,2016-12-14,2016-12-19,First Class,CG-20089,Customer_89,Corporate,United States,Henderson,Kentucky,42420,South,PROD-300089,Technology,Accessories,Accessories Product 89,446.55,15,0.1,44.655
90,CA-2016-300090,2015-03-09,2015-03-10,Same Day,CG-20090,Customer_90,Corporate,United States,Miami,Florida,33101,South,PROD-300090,Office Supplies,Storage,Storage Product 90,47.81,2,0.1,4.781
91,CA-2016-300091,2017-05-14,2017-05-20,First Class,CG-20091,Customer_91,Corporate,United States,Chicago,Illinois,60601,Central,PROD-300091,Furniture,Tables,Tables Product 91,1246.62,1,0.1,124.662
92,CA-2016-300092,2014-12-08,2014-12-11,Standard Class,CG-20092,Customer_92,Corporate,United States,Los Angeles,California,90001,West,PROD-300092,Technology,Accessories,Accessories Product 92,231.72,1,0.0,34.758
93,CA-2016-300093,2015-10-27,2015-11-03,Second Class,CG-20093,Customer_93,Consumer,United States,Houston,Texas,77001,South,PROD-300093,Technology,Accessories,Accessories Product 93,363.61,3,0.25,9.0902
94,CA-2016-300094,2014-05-30,2014-06-03,Second Class,CG-20094,Customer_94,Consumer,United States,New York,New York,10001,East,PROD-300094,Office Supplies,Paper,Paper Product 94,1353.24,7,0.15,101.493
95,CA-2016-300095,2015-09-29,2015-10-01,Same Day,CG-20095,Customer_95,Corporate,United States,Chicago,Illinois,60601,Central,PROD-300095,Technology,Accessories,Accessories Product 95,2392.58,4,0.0,358.887
96,CA-2016-300096,2015-04-06,2015-04-13,Standard Class,CG-20096,Customer_96,Corporate,United States,Miami,Florida,33101,South,PROD-300096,Office Supplies,Storage,Storage Product 96,964.63,3,0.05,120.5787
97,CA-2016-300097,2016-11-28,2016-12-05,First Class,CG-20097,Customer_97,Consumer,United States,Houston,Texas,77001,South,PROD-300097,Office Supplies,Paper,Paper Product 97,344.51,15,0.1,34.451
98,CA-2016-300098,2015-08-28,2015-09-03,Same Day,CG-20098,Customer_98,Consumer,United States,New York,New York,10001,East,PROD-300098,Office Supplies,Paper,Paper Product 98,252.91,2,0.2,12.6455
99,CA-2016-300099,2014-02-02,2014-02-09,Same Day,CG-20099,Customer_99,Home Office,United States,Henderson,Kentucky,42420,South,PROD-300099,Technology,Machines,Machines Product 99,869.34,11,0.2,43.467
100,CA-2016-300100,2014-10-06,2014-10-07,First Class,CG-20100,Customer_100,Corporate,United States,Houston,Texas,77001,South,PROD-300100,Technology,Accessories,Accessories Product 100,433.3,11,0.1,43.33
101,CA-2016-300101,2017-01-29,2017-02-01,First Class,CG-20101,Customer_101,Home Office,United States,Chicago,Illinois,60601,Central,PROD-300101,Furniture,Bookcases,Bookcases Product 101,785.89,7,0.2,39.2945
102,CA-2016-300102,2014-12-23,2014-12-25,Same Day,CG-20102,Customer_102,Home Office,United States,Houston,Texas,77001,South,PROD-300102,Furniture,Bookcases,Bookcases Product 102,622.8,13,0.15,46.71
103,CA-2016-300103,2015-02-26,2015-03-05,First Class,CG-20103,Customer_103,Corporate,United States,Seattle,Washington,98101,West,PROD-300103,Furniture,Bookcases,Bookcases Product 103,270.26,3,0.1,27.026
104,CA-2016-300104,2014-11-12,2014-11-15,Second Class,CG-20104,Customer_104,Home Office,United States,Chicago,Illinois,60601,Central,PROD-300104,Office Supplies,Paper,Paper Product 104,686.67,13,0.0,103.0005
105,CA-2016-300105,2015-10-11,2015-10-12,Second Class,CG-20105,Customer_105,Home Office,United States,Los Angeles,California,90001,West,PROD-300105,Furniture,Chairs,Chairs Product 105,439.72,15,0.1,43.972
106,CA-2016-300106,2016-04-19,2016-04-25,Second Class,CG-20106,Customer_106,Consumer,United States,New York,New York,10001,East,PROD-300106,Furniture,Chairs,Chairs Product 106,1851.59,3,0.1,185.159
107,CA-2016-300107,2014-11-25,2014-11-29,Second Class,CG-20107,Customer_107,Home Office,United States,Seattle,Washington,98101,West,PROD-300107,Office Supplies,Binders,Binders Product 107,560.94,8,0.05,70.1175
108,CA-2016-300108,2016-11-17,2016-11-20,Same Day,CG-20108,Customer_108,Consumer,United States,Chicago,Illinois,60601,Central,PROD-300108,Technology,Machines,Machines Product 108,197.71,4,0.0,29.6565
109,CA-2016-300109,2015-03-01,2015-03-02,Same Day,CG-20109,Customer_109,Consumer,United States,Chicago,Illinois,60601,Central,PROD-300109,Technology,Machines,Machines Product 109,1302.49,15,0.25,32.5622
110,CA-2016-300110,2015-06-12,2015-06-16,First Class,CG-20110,Customer_110,Home Office,United States,Seattle,Washington,98101,West,PROD-300110,Office Supplies,Storage,Storage Product 110,2196.22,4,0.25,54.9055
111,CA-2016-300111,2016-12-17,2016-12-20,Same Day,CG-20111,Customer_111,Consumer,United States,Henderson,Kentucky,42420,South,PROD-300111,Technology,Machines,Machines Product 111,70.6,4,0.05,8.825
112,CA-2016-300112,2016-09-23,2016-09-30,Same Day,CG-20112,Customer_112,Consumer,United States,New York,New York,10001,East,PROD-300112,Furniture,Chairs,Chairs Product 112,175.38,12,0.1,17.538
113,CA-2016-300113,2014-12-03,2014-12-08,First Class,CG-20113,Customer_113,Home Office,United States,Miami,Florida,33101,South,PROD-300113,Technology,Phones,Phones Product 113,1145.14,15,0.2,57.257
114,CA-2016-300114,2014-07-07,2014-07-08,Same Day,CG-20114,Customer_114,Home Office,United States,Chicago,Illinois,60601,Central,PROD-300114,Technology,Phones,Phones Product 114,2433.4,5,0.1,243.34
115,CA-2016-300115,2017-10-29,2017-10-31,First Class,CG-20115,Customer_115,Corporate,United States,New York,New York,10001,East,PROD-300115,Technology,Accessories,Accessories Product 115,1670.12,15,0.15,125.259
116,CA-2016-300116,2014-05-14,2014-05-21,Same Day,CG-20116,Customer_116,Home Office,United States,New York,New York,10001,East,PROD-300116,Furniture,Chairs,Chairs Product 116,859.56,7,0.0,128.934
117,CA-2016-300117,2015-10-30,2015-11-03,Standard Class,CG-20117,Customer_117,Consumer,United States,Houston,Texas,77001,South,PROD-300117,Technology,Accessories,Accessories Product 117,2243.45,11,0.1,224.345
118,CA-2016-300118,2016-03-02,2016-03-05,Second Class,CG-20118,Customer_118,Consumer,United States,Los Angeles,California,90001,West,PROD-300118,Furniture,Bookcases,Bookcases Product 118,1365.93,13,0.0,204.8895
119,CA-2016-300119,2016-09-01,2016-09-03,Second Class,CG-20119,Customer_119,Home Office,United States,Los Angeles,California,90001,West,PROD-300119,Furniture,Chairs,Chairs Product 119,705.05,11,0.15,52.8787
120,CA-2016-300120,2014-10-18,2014-10-24,Standard Class,CG-20120,Customer_120,Corporate,United States,New York,New York,10001,East,PROD-300120,Office Supplies,Storage,Storage Product 120,1667.58,9,0.05,208.4475
121,CA-2016-300121,2015-09-04,2015-09-07,First Class,CG-20121,Customer_121,Home Office,United States,Henderson,Kentucky,42420,South,PROD-300121,Technology,Accessories,Accessories Product 121,1694.51,6,0.1,169.451
122,CA-2016-300122,2015-10-10,2015-10-16,Standard Class,CG-20122,Customer_122,Home Office,United States,Miami,Florida,33101,South,PROD-300122,Furniture,Chairs,Chairs Product 122,2122.91,9,0.05,265.3637
123,CA-2016-300123,2016-09-01,2016-09-07,Standard Class,CG-20123,Customer_123,Home Office,United States,Seattle,Washington,98101,West,PROD-300123,Technology,Accessories,Accessories Product 123,1491.26,1,0.2,74.563
124,CA-2016-300124,2016-06-02,2016-06-05,First Class,CG-20124,Customer_124,Home Office,United States,Miami,Florida,33101,South,PROD-300124,Office Supplies,Binders,Binders Product 124,1686.79,6,0.05,210.8487
125,CA-2016-300125,2016-01-09,2016-01-10,Second Class,CG-20125,Customer_125,Corporate,United States,Henderson,Kentucky,42420,South,PROD-300125,Furniture,Bookcases,Bookcases Product 125,2093.46,2,0.2,104.673
126,CA-2016-300126,2015-07-19,2015-07-24,First Class,CG-20126,Customer_126,Home Office,United States,Seattle,Washington,98101,West,PROD-300126,Technology,Accessories,Accessories Product 126,1228.56,9,0.05,153.57
127,CA-2016-300127,2016-03-04,2016-03-08,Second Class,CG-20127,Customer_127,Home Office,United States,Seattle,Washington,98101,West,PROD-300127,Technology,Phones,Phones Product 127,1110.29,6,0.2,55.5145
128,CA-2016-300128,2015-12-25,2016-01-01,First Class,CG-20128,Customer_128,Corporate,United States,Houston,Texas,77001,South,PROD-300128,Technology,Phones,Phones Product 128,1965.1,8,0.15,147.3825
129,CA-2016-300129,2017-10-21,2017-10-23,Second Class,CG-20129,Customer_129,Home Office,United States,Los Angeles,California,90001,West,PROD-300129,Office Supplies,Storage,Storage Product 129,825.63,10,0.0,123.8445
130,CA-2016-300130,2017-09-24,2017-09-28,Second Class,CG-20130,Customer_130,Corporate,United States,Los Angeles,California,90001,West,PROD-300130,Technology,Machines,Machines Product 130,1386.25,6,0.15,103.9688
131,CA-2016-300131,2015-06-17,2015-06-20,First Class,CG-20131,Customer_131,Home Office,United States,Houston,Texas,77001,South,PROD-300131,Office Supplies,Storage,Storage Product 131,1861.0,13,0.1,186.1
132,CA-2016-300132,2014-01-26,2014-01-27,Second Class,CG-20132,Customer_132,Corporate,United States,Chicago,Illinois,60601,Central,PROD-300132,Furniture,Bookcases,Bookcases Product 132,79.55,15,0.25,1.9887
